"cole_depto_ubicacion","fami_estratovivienda","fami_personashogar","fami_tieneautomovil","fami_tienecomputador","fami_tieneinternet","fami_tienelavadora","punt_global"
"VALLE","Estrato 3","5 a 6","No","Si","Si","Si","350"
"BOGOTÁ","Estrato 2","3 a 4","Si","Si","No","No","174"
"VALLE","Estrato 2","3 a 4","No","Si","Si","Si","368"
"BOGOTÁ","Estrato 2","1 a 2","No","Si","Si","Si","295"
"VALLE","Estrato 3","3 a 4","No","Si","Si","Si","315"
"BOYACA","Estrato 3","3 a 4","No","Si","Si","Si","294"
"CAUCA","Estrato 2","3 a 4","Si","Si","Si","Si","360"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","315"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","314"
"BOGOTÁ","Estrato 2","3 a 4","No","Si","Si","Si","278"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","340"
"NARIÑO","Estrato 4","5 a 6","Si","Si","Si","Si","333"
"BOGOTÁ","Estrato 5","3 a 4","No","Si","Si","Si","346"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","331"
"VALLE","Estrato 5","5 a 6","Si","Si","Si","Si","332"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","298"
"BOGOTÁ","Estrato 1","3 a 4","No","Si","Si","Si","171"
"VALLE","Estrato 5","5 a 6","Si","Si","Si","Si","180"
"BOGOTÁ","Estrato 2","3 a 4","Si","No","Si","Si","280"
"VALLE","Estrato 4","1 a 2","No","Si","Si","No","319"
"BOGOTÁ","Estrato 2","5 a 6","Si","Si","Si","Si","254"
"VALLE","Estrato 4","3 a 4","No","Si","Si","Si","334"
"NARIÑO","Estrato 1","3 a 4","Si","Si","Si","Si","310"
"BOGOTÁ","Estrato 3","5 a 6","No","Si","Si","Si","206"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","342"
"ANTIOQUIA","Estrato 6","3 a 4","Si","Si","Si","Si","342"
"VALLE","Estrato 6","3 a 4","Si","Si","Si","Si","350"
"NORTE SANTANDER","Estrato 2","3 a 4","No","No","Si","Si","180"
"CESAR","Estrato 2","5 a 6","No","No","Si","Si","240"
"BOGOTÁ","Estrato 3","3 a 4","No","Si","Si","Si","243"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","358"
"VALLE","Estrato 2","3 a 4","Si","Si","Si","Si","294"
"CALDAS","Estrato 6","3 a 4","Si","Si","Si","Si","355"
"VALLE","Estrato 2","3 a 4","No","No","Si","Si","306"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","347"
"VALLE","Estrato 5","3 a 4","Si","Si","Si","Si","370"
"BOGOTÁ","Estrato 6","3 a 4","Si","Si","Si","Si","357"
"BOGOTÁ","Estrato 3","3 a 4","No","Si","Si","Si","261"
"BOGOTÁ","Estrato 3","5 a 6","No","Si","Si","Si","250"
"ATLANTICO","Estrato 6","5 a 6","Si","Si","Si","Si","367"
"CUNDINAMARCA","Estrato 4","3 a 4","Si","Si","Si","Si","381"
"ANTIOQUIA","Estrato 6","5 a 6","Si","Si","Si","Si","330"
"CUNDINAMARCA","Estrato 1","5 a 6","No","No","No","Si","184"
"ANTIOQUIA","Estrato 2","3 a 4","No","No","Si","Si","238"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","227"
"ANTIOQUIA","Estrato 2","1 a 2","No","No","No","No","156"
"ATLANTICO","Estrato 5","3 a 4","Si","Si","Si","Si","305"
"VALLE","Estrato 2","7 a 8","No","Si","Si","Si","350"
"CAUCA","Sin Estrato","5 a 6","Si","Si","Si","Si","166"
"SANTANDER","Estrato 6","3 a 4","Si","Si","Si","Si","340"
"TOLIMA","Estrato 1","3 a 4","No","No","Si","No","246"
"BOGOTÁ","Estrato 4","3 a 4","Si","Si","Si","Si","308"
"BOGOTÁ","Estrato 5","3 a 4","Si","Si","Si","Si","276"
"CESAR","Estrato 1","5 a 6","No","No","No","Si","205"
"BOGOTÁ","Estrato 1","3 a 4","No","Si","Si","Si","180"
"NARIÑO","Estrato 1","1 a 2","No","No","Si","No","242"
"BOGOTÁ","Sin Estrato","3 a 4","Si","Si","Si","Si","228"
"CAUCA","Estrato 3","3 a 4","Si","Si","Si","Si","275"
"VALLE","Estrato 5","5 a 6","No","Si","Si","Si","333"
"VALLE","Estrato 2","3 a 4","Si","Si","Si","Si","271"
"VALLE","Estrato 2","3 a 4","No","No","Si","Si","224"
"VALLE","Estrato 5","5 a 6","Si","Si","Si","Si","336"
"VALLE","Estrato 2","3 a 4","No","Si","Si","Si","256"
"CUNDINAMARCA","Estrato 5","5 a 6","Si","Si","Si","Si","331"
"BOGOTÁ","Estrato 3","5 a 6","No","No","Si","Si","238"
"BOGOTÁ","Estrato 6","5 a 6","Si","Si","Si","Si","315"
"BOGOTÁ","Estrato 3","3 a 4","No","Si","Si","Si","202"
"VALLE","Estrato 5","5 a 6","Si","Si","Si","Si","323"
"CAUCA","Estrato 3","5 a 6","Si","Si","Si","Si","226"
"VALLE","Estrato 3","3 a 4","Si","Si","Si","Si","275"
"CAUCA","Estrato 5","3 a 4","Si","Si","Si","Si","287"
